files	6/
hsa-mir-548aw	1
hsa-mir-3144-3p	0
hsa-mir-6752-3p	0
hsa-mir-6729-3p	0
hsa-mir-663b	2
hsa-mir-4721	1
hsa-mir-4441	0
hsa-mir-1237-3p	0
hsa-mir-3620-3p	1
hsa-mir-1299	25
hsa-mir-4539	0
hsa-mir-1270	0
hsa-mir-6723-5p	12
hsa-mir-4678	0
hsa-mir-374a-3p	1641
hsa-mir-4498	3
hsa-mir-370-5p	1
hsa-mir-6088	1
hsa-mir-4761-3p	1
hsa-mir-4709-3p	13
hsa-mir-944	0
hsa-mir-489-3p	44
hsa-mir-6736-5p	2
hsa-mir-422a	292
hsa-mir-6718-5p	11
hsa-let-7d-3p	1543
hsa-mir-3614-3p	1
hsa-mir-28-3p	6748
hsa-mir-671-3p	357
hsa-mir-642b-5p	5
hsa-mir-330-5p	334
hsa-mir-4793-3p	1
hsa-mir-138-2-3p	0
hsa-mir-5196-5p	0
hsa-mir-3914	0
hsa-mir-548j-3p	4
hsa-mir-4529-3p	0
hsa-mir-323b-3p	58
hsa-mir-3150a-3p	1
hsa-mir-4999-3p	0
hsa-mir-4771	1
hsa-mir-4255	0
hsa-mir-6883-5p	0
hsa-mir-6895-3p	0
hsa-mir-4301	10
hsa-mir-5089-5p	0
hsa-mir-4783-3p	2
hsa-mir-1910-3p	1
hsa-mir-6817-3p	1
hsa-mir-3680-5p	2
hsa-mir-30b-5p	6017
hsa-mir-548ay-3p	21
hsa-mir-4711-5p	1
hsa-mir-6513-5p	2
hsa-mir-4423-3p	2
hsa-mir-6866-5p	32
hsa-mir-4726-3p	1
hsa-mir-3064-5p	8
hsa-mir-378e	249
hsa-mir-498	1
hsa-mir-4286	120
hsa-mir-376a-5p	0
hsa-mir-4646-5p	2
hsa-mir-4733-5p	4
hsa-mir-6511b-3p	24
hsa-mir-4418	1
hsa-mir-6741-3p	0
hsa-mir-1283	0
hsa-mir-3684	1
hsa-mir-33b-5p	7
hsa-mir-769-5p	10811
hsa-mir-659-3p	0
hsa-mir-3137	0
hsa-mir-4684-5p	0
hsa-mir-6881-5p	1
hsa-mir-6795-5p	0
hsa-mir-4765	0
hsa-mir-1254	105
hsa-mir-296-5p	0
hsa-mir-1298-5p	1
hsa-mir-548ao-3p	0
hsa-mir-590-3p	242
hsa-mir-4740-5p	0
hsa-mir-6772-5p	0
hsa-mir-6798-3p	4
hsa-mir-6740-5p	0
hsa-mir-2115-3p	1
hsa-mir-3657	1
hsa-mir-506-3p	0
hsa-mir-548ae-5p	2
hsa-mir-4734	2
hsa-mir-523-3p	0
hsa-mir-4537	1
hsa-mir-548av-5p	0
hsa-mir-8072	1
hsa-mir-6863	0
hsa-mir-5585-3p	5
hsa-mir-4683	6
hsa-mir-770-5p	0
hsa-mir-5688	0
hsa-mir-3156-3p	1
hsa-mir-6755-3p	0
hsa-mir-4686	0
hsa-mir-6728-5p	0
hsa-mir-5010-3p	566
hsa-mir-1908-5p	9
hsa-mir-4648	0
hsa-mir-5003-3p	0
hsa-mir-219b-3p	2
hsa-mir-4482-3p	0
hsa-mir-10b-3p	91
hsa-mir-1243	2
hsa-mir-34c-5p	0
hsa-mir-6716-3p	17
hsa-mir-6855-5p	2
hsa-mir-7155-3p	4
hsa-mir-4700-3p	2
hsa-mir-6134	8
hsa-mir-606	0
hsa-mir-5703	0
hsa-mir-4447	0
hsa-mir-4295	0
hsa-mir-4519	1
hsa-mir-4477b	1
hsa-mir-4769-3p	1
hsa-mir-125a-3p	122
hsa-mir-550b-2-5p	0
hsa-mir-664b-5p	6
hsa-mir-6769a-3p	0
hsa-mir-4752	0
hsa-mir-6125	1
hsa-mir-219a-1-3p	50
hsa-mir-6861-5p	0
hsa-mir-6846-3p	0
hsa-mir-521	0
hsa-mir-3146	83
hsa-mir-210-5p	33
hsa-mir-30a-3p	29566
hsa-mir-6763-5p	0
hsa-mir-3944-3p	8
hsa-mir-6783-5p	0
hsa-mir-4317	9
hsa-mir-548aa	7
hsa-mir-1285-5p	87
hsa-mir-5705	0
hsa-mir-1286	4
hsa-mir-1185-1-3p	40
hsa-mir-4419a	81
hsa-mir-191-5p	21553
hsa-mir-27a-5p	7532
hsa-mir-876-3p	2
hsa-mir-6762-5p	0
hsa-mir-548a-5p	1
hsa-mir-1469	0
hsa-mir-6751-3p	4
hsa-mir-106a-3p	0
hsa-mir-6890-5p	0
hsa-mir-7-1-3p	512
hsa-mir-124-5p	0
hsa-mir-582-3p	3684
hsa-let-7e-3p	140
hsa-mir-203a-3p	3150
hsa-mir-4426	7
hsa-mir-5193	2
hsa-mir-3609	24
hsa-mir-4272	0
hsa-mir-7112-3p	1
hsa-mir-1303	984
hsa-mir-6840-5p	5
hsa-mir-518e-3p	0
hsa-mir-4769-5p	0
hsa-mir-4719	0
hsa-mir-1293	14
hsa-mir-1306-5p	33
hsa-mir-324-5p	139
hsa-mir-6773-5p	1
hsa-mir-6757-5p	1
hsa-mir-649	0
hsa-mir-29b-2-5p	24
hsa-mir-374c-5p	514
hsa-mir-6867-3p	0
hsa-mir-8060	0
hsa-mir-548s	5
hsa-mir-7160-3p	0
hsa-mir-4784	0
hsa-mir-645	0
hsa-mir-548ah-3p	26
hsa-mir-3689b-5p	0
hsa-mir-181d-3p	0
hsa-mir-4747-5p	1
hsa-mir-3679-5p	3
hsa-mir-122-3p	1
hsa-mir-301b-5p	2
hsa-mir-33b-3p	24
hsa-mir-31-5p	12488
hsa-mir-664a-5p	64
hsa-mir-6726-3p	0
hsa-mir-561-3p	4
hsa-mir-1269b	2
hsa-mir-338-3p	8
hsa-mir-933	22
hsa-mir-548ak	2
hsa-mir-548l	4
hsa-mir-4660	2
hsa-mir-548am-3p	18
hsa-mir-4267	0
hsa-mir-3622a-5p	4
hsa-mir-504-5p	2
hsa-mir-4653-3p	1
hsa-mir-4794	2
hsa-mir-543	138
hsa-mir-4757-5p	0
hsa-mir-6818-5p	0
hsa-mir-186-5p	2855
hsa-mir-4638-3p	4
hsa-mir-6891-5p	1
hsa-mir-6759-5p	1
hsa-mir-196a-3p	15
hsa-mir-6858-3p	0
hsa-mir-6758-5p	3
hsa-mir-3617-5p	83
hsa-mir-4322	0
hsa-mir-4797-5p	16
hsa-mir-4512	13
hsa-mir-181c-5p	102
hsa-mir-632	1
hsa-mir-4742-5p	3
hsa-mir-4677-3p	164
hsa-mir-6871-3p	1
hsa-mir-4469	1
hsa-mir-582-5p	205
hsa-mir-4804-5p	4
hsa-mir-5195-3p	0
hsa-mir-24-3p	48602
hsa-mir-4687-5p	1
hsa-mir-100-5p	949299
hsa-mir-18a-5p	620
hsa-mir-6737-5p	0
hsa-mir-199b-3p	225
hsa-mir-7704	12
hsa-mir-128-3p	8242
hsa-mir-4802-5p	0
hsa-mir-6758-3p	0
hsa-mir-1231	1
hsa-mir-1181	0
hsa-mir-652-3p	455
hsa-mir-4473	44
hsa-mir-654-5p	37
hsa-mir-3150a-5p	2
hsa-mir-626	0
hsa-mir-518e-5p	1
hsa-mir-4475	0
hsa-mir-6782-3p	4
hsa-mir-10a-5p	410340
hsa-mir-6850-5p	1
hsa-mir-6078	0
hsa-mir-1249-5p	3
hsa-mir-6814-5p	1
hsa-mir-3138	3
hsa-mir-4433b-5p	1
hsa-mir-4672	1
hsa-mir-4252	1
hsa-mir-8485	103
hsa-mir-542-5p	3
hsa-mir-2114-3p	0
hsa-mir-183-5p	60993
hsa-mir-1233-3p	2
hsa-mir-4644	3
hsa-mir-577	0
hsa-mir-5100	429
hsa-mir-3174	4
hsa-mir-4768-5p	0
hsa-mir-4530	0
hsa-mir-4772-5p	0
hsa-mir-6501-5p	39
hsa-mir-1185-5p	0
hsa-mir-3187-5p	5
hsa-mir-6888-3p	0
hsa-mir-22-3p	13672
hsa-mir-4638-5p	1
hsa-mir-3690	0
hsa-mir-3159	90
hsa-mir-337-3p	0
hsa-mir-4494	0
hsa-mir-17-5p	17707
hsa-mir-1301-3p	178
hsa-mir-5572	0
hsa-mir-6733-5p	19
hsa-mir-376c-5p	0
hsa-mir-302b-3p	7708
hsa-mir-6879-5p	1
hsa-mir-3660	0
hsa-mir-8085	0
hsa-mir-4459	31
hsa-mir-142-3p	1
hsa-mir-3677-5p	0
hsa-mir-6833-5p	0
hsa-mir-4749-5p	0
hsa-mir-4472	27
hsa-mir-6892-5p	1
hsa-mir-103a-2-5p	4
hsa-mir-4790-3p	0
hsa-mir-3651	89
hsa-mir-4454	34
hsa-mir-365a-3p	2
hsa-mir-4731-3p	0
hsa-mir-3120-3p	0
hsa-mir-5696	9
hsa-mir-6750-5p	1
hsa-mir-4685-3p	7
hsa-mir-4758-3p	2
hsa-mir-149-5p	3367
hsa-mir-3194-3p	0
hsa-mir-3978	0
hsa-mir-584-5p	105
hsa-mir-6882-5p	10
hsa-mir-6800-3p	0
hsa-mir-2278	7
hsa-mir-6794-5p	3
hsa-mir-6777-5p	1
hsa-mir-3692-5p	0
hsa-mir-550a-3p	2
hsa-mir-576-5p	141
hsa-mir-2277-3p	13
hsa-mir-6861-3p	1
hsa-mir-1914-3p	0
hsa-mir-449a	48
hsa-mir-1271-5p	5
hsa-mir-1972	6
hsa-mir-3692-3p	0
hsa-mir-4515	0
hsa-mir-519c-3p	0
hsa-mir-6822-3p	1
hsa-mir-5096	349
hsa-mir-7974	566
hsa-mir-3190-3p	4
hsa-mir-4698	0
hsa-mir-340-3p	388
hsa-mir-548h-5p	0
hsa-mir-3145-5p	7
hsa-mir-191-3p	13
hsa-mir-200b-3p	31356
hsa-mir-4716-3p	0
hsa-mir-4307	0
hsa-mir-6852-5p	4
hsa-mir-939-3p	1
hsa-mir-3606-3p	0
hsa-mir-6724-5p	6
hsa-mir-664a-3p	541
hsa-mir-3116	5
hsa-mir-744-5p	1285
hsa-mir-4540	0
hsa-mir-616-5p	34
hsa-mir-335-5p	81
hsa-mir-4654	2
hsa-mir-9-3p	20
hsa-mir-6843-3p	0
hsa-mir-6505-5p	16
hsa-mir-4652-5p	22
hsa-mir-3197	0
hsa-mir-660-3p	13
hsa-mir-509-3p	0
hsa-mir-522-3p	0
hsa-mir-451a	2
hsa-mir-6737-3p	1
hsa-mir-22-5p	202
hsa-mir-3613-3p	21
hsa-mir-8065	16
hsa-mir-1178-5p	0
hsa-mir-6070	1
hsa-mir-125b-5p	33775
hsa-mir-3177-3p	22
hsa-mir-6513-3p	4
hsa-let-7f-2-3p	371
hsa-mir-5190	1
hsa-mir-3119	0
hsa-mir-4727-3p	3
hsa-mir-1909-5p	1
hsa-mir-432-5p	0
hsa-mir-7111-3p	0
hsa-mir-1915-3p	0
hsa-mir-6827-5p	3
hsa-mir-1226-3p	9
hsa-mir-134-3p	0
hsa-mir-548ad-5p	2
hsa-mir-874-3p	4
hsa-mir-3938	9
hsa-mir-1296-5p	232
hsa-mir-6769a-5p	1
hsa-mir-675-5p	8
hsa-mir-6821-5p	1
hsa-mir-584-3p	1
hsa-mir-4722-5p	0
hsa-mir-6732-3p	2
hsa-mir-3192-3p	0
hsa-mir-6826-5p	3
hsa-mir-4446-3p	0
hsa-mir-5188	7
hsa-mir-1261	0
hsa-mir-188-5p	95
hsa-mir-3646	1
hsa-mir-4754	0
hsa-mir-4763-5p	0
hsa-mir-425-3p	361
hsa-mir-199a-3p	0
hsa-mir-151a-3p	221512
hsa-mir-29c-5p	124
hsa-mir-3123	0
hsa-mir-3130-5p	1
hsa-mir-151a-5p	1778
hsa-mir-6884-5p	0
hsa-mir-526a	0
hsa-mir-6874-3p	2
hsa-mir-302f	47
hsa-mir-526b-5p	0
hsa-mir-653-3p	142
hsa-mir-520d-3p	0
hsa-mir-4509	0
hsa-mir-942-3p	9
hsa-mir-6506-5p	1
hsa-mir-8079	1
hsa-mir-760	52
hsa-mir-499a-3p	0
hsa-mir-6516-5p	14
hsa-mir-4479	11
hsa-mir-3686	1
hsa-mir-3127-5p	10
hsa-mir-4327	0
hsa-mir-4502	3
hsa-mir-4497	11
hsa-mir-204-5p	0
hsa-mir-4780	0
hsa-let-7a-5p	103169
hsa-mir-30b-3p	69
hsa-mir-6832-5p	2
hsa-mir-1249-3p	41
hsa-mir-3140-3p	2
hsa-mir-3183	3
hsa-mir-4728-5p	2
hsa-mir-922	2
hsa-mir-611	1
hsa-mir-943	4
hsa-mir-6787-5p	1
hsa-mir-8075	0
hsa-mir-711	2
hsa-mir-7515	0
hsa-mir-6879-3p	0
hsa-mir-6751-5p	2
hsa-mir-1255b-2-3p	2
hsa-mir-3065-3p	20
hsa-mir-6730-5p	0
hsa-mir-5006-3p	4
hsa-mir-3941	3
hsa-mir-548ao-5p	0
hsa-mir-379-5p	535
hsa-mir-642b-3p	0
hsa-mir-7847-3p	0
hsa-mir-636	9
hsa-mir-619-5p	67
hsa-mir-93-3p	429
hsa-mir-3129-5p	11
hsa-mir-127-5p	0
hsa-mir-6753-5p	0
hsa-mir-3607-3p	749
hsa-mir-150-5p	3
hsa-mir-4665-5p	0
hsa-mir-3189-3p	6
hsa-mir-2276-5p	0
hsa-mir-6781-3p	0
hsa-mir-497-5p	30
hsa-mir-485-5p	26
hsa-mir-3161	0
hsa-mir-1307-5p	311
hsa-mir-6500-3p	62
hsa-mir-6844	0
hsa-mir-6836-5p	0
hsa-mir-363-5p	0
hsa-mir-4442	0
hsa-mir-188-3p	4
hsa-mir-6077	1
hsa-mir-23a-3p	26011
hsa-mir-3621	0
hsa-mir-378c	1713
hsa-mir-7108-3p	0
hsa-mir-7152-3p	3
hsa-mir-204-3p	0
hsa-mir-6727-5p	1
hsa-mir-28-5p	465
hsa-mir-4647	5
hsa-mir-6776-5p	1
hsa-mir-1224-5p	79
hsa-mir-3134	13
hsa-mir-2114-5p	0
hsa-mir-5689	6
hsa-mir-7162-5p	0
hsa-mir-5010-5p	1
hsa-mir-4729	0
hsa-mir-6857-3p	0
hsa-mir-3202	0
hsa-mir-4661-5p	22
hsa-mir-3714	0
hsa-mir-5692c	0
hsa-mir-1278	170
hsa-mir-586	0
hsa-mir-21-3p	12226
hsa-mir-6789-5p	0
hsa-mir-4791	7801
hsa-mir-6716-5p	3
hsa-mir-141-3p	3
hsa-mir-3149	4
hsa-mir-4503	0
hsa-mir-657	0
hsa-mir-4466	3
hsa-mir-4437	0
hsa-mir-3124-5p	1
hsa-mir-363-3p	83
hsa-mir-496	2
hsa-mir-3133	51
hsa-mir-3908	12
hsa-mir-6870-5p	0
hsa-mir-146b-3p	39
hsa-mir-454-5p	41
hsa-mir-1306-3p	11
hsa-mir-3178	9
hsa-mir-6812-5p	0
hsa-mir-217	0
hsa-mir-548ag	0
